Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
22,193,DEIFER; AA; DADA; EA; DEE; EE; DEG; GAE; HE; EH; ME; EEN; INN; EEN; ON; OF; PROF; MM; JO; REEN; US; STUMM; WEEN; JUN,223,ALT; BICE; ED; EVEN; FED; EE; EE; CIGGIE; KEG; NE; INK; EEN; MILK; BOK; OLEA; NO; MOPS; ST; ST; URP; BOY; UN; TREEN; OR,Player2
23,198,JEW; NAFF; BA; DAMAN; JA; DEE; EE; BE; GIGHE; KEA; LEE; DEEM; INK; KO; OH; NEE; CON; OS; SEA; TSK; RUST; INKY; TRUST,189,EON; MAA; DADO; NOWED; ECU; MEU; EE; GEE; EE; LILIED; ING; MEN; NO; KOPH; ER; ION; NOH; EEN; ST; ST; MENT; WRY,Player1
24,203,MUTATE; EAN; CAA; AD; CEDE; DEE; EE; AGEE; TAJ; MIL; FEEING; INN; OON; NOO; ON; UN; DERN; MUTATES; RUTH; OONT; XU; ROM; ADZ,203,ES; ER; AD; NIB; EEK; BEE; DEB; FEG; FEH; KEEN; EM; EEN; OM; KEEK; PHON; OS; PEEN; ITS; ESS; RITS; DERNY; VLY,Draw
25,147,WHEN; ALFA; CAD; CEDE; ED; EA; EE; FEE; EE; JIBE; HM; JINK; NONMEN; OON; ROO; IS; GI; OOT; TOWNS; KEAS,210,DANT; AB; WADED; EE; TE; NE; LEGGE; EE; JIB; TEE; MILL; EEK; KINO; PI; INN; EEN; PSST; RURU; PIX; NY,Player2
26,141,MEM; PA; AA; CAA; CEE; DEE; EGG; AMIDE; KI; KIF; EN; EL; ILK; NO; KO; NON; SO; SOP; JORS; UN; UN; RUN; ST,224,MEE; AECIA; BEDE; DEE; BEE; ZED; FE; EE; HELE; NE; HM; JINNI; NO; NOG; ON; ORS; SAE; REN; TSK; RUTS; WYN; WEE; TEGG,Player2
27,148,AUA; AA; EA; OO; EE; DEE; JEE; FE; GIG; EL; KA; NEE; EEN; EEL; MIM; OR; ARDS; OCH; METS; JUTS; NU; TWP,213,HONE; ABAC; ARD; DEN; DEBE; EE; EDGE; FED; EIK; ELM; MINAE; DEEN; INN; OON; OPEN; ERS; INNS; LOON; KOR; TIN; PRYS; ST,Player2
28,190,BENE; AA; AD; ADD; BEN; EE; EE; HELE; FE; LI; ELM; BEN; IN; HM; NON; PEEN; GON; OR; SKI; ST; SMEE; BENJ; UR; NY,188,AWEE; AE; CAD; DE; EEN; DEE; BE; IGG; CID; EM; KI; NE; MEE; KO; NOO; ERG; NERK; FROM; PSST; UN; TUT; TWA; NY; NU,Player1
29,138,TEIL; AE; AX; DECO; NA; EE; EA; GIE; ELL; NE; GIEN; TEC; NON; KO; OP; NEP; SON; ERN; SONS; KOS; TUT; UG,232,KEEN; BANAK; DAB; TE; DEEDED; FEED; AHIGH; DEEK; MI; EAN; MI; NOH; NOON; MIM; NOR; OPS; ELLS; ET; SURF; NEW; NY; UR,Player2
30,200,YIPE; MAAS; BAA; BEZ; DEE; EE; GEED; LICE; MI; BAAL; NE; KEEN; CONN; GOO; OON; REE; OS; TSKS; URP; STURT; WE; WOS,187,YELL; AMA; HA; ZEE; DEEDED; EE; FED; GI; INK; NED; INN; EF; NONE; KO; KOR; PRO; KEENS; TE; ST; NU; XU,Player1
31,160,SH; KO; DADA; SCAD; BEE; DEP; BE; DEE; GEE; ED; CHE; JA; KIEV; NIM; EN; EN; NOM; ONO; REN; FAA; EMS; ST,175,SHOE; VOE; AS; BE; VEEP; VEEPEE; AA; FEE; DEE; HE; KAIES; LIG; GAB; EM; EM; IN; ON; GEEP; LED; EL; EDS; ONST,Player2
32,186,DEEN; AAS; ABB; OPA; DALED; LEE; FEE; DEE; EA; DIG; EH; EM; GIN; NOH; GUR; ECUS; NAS; FEET; LI; NU; KI; TON; NOOK; WE,195,ECU; RAN; DAL; DECAD; EEN; DEE; FEED; GI; KI; LEG; MINIM; NA; NEON; ONO; OR; OP; REH; SKIS; REEN; ON; TANA; NUT; TREEN; DECADS,Player2
33,147,UPDO; ALSO; DADA; ECAD; EA; FEE; GEED; EE; GIE; LIG; MA; JIN; EEN; NOON; KONK; SO; KONKS; SAP,134,NA; DAN; EBBED; DEE; EE; SEC; EH; HIE; ILK; MEM; DEN; GIEN; KOI; KON; NAP; ES; JINN,Player1
34,163,INS; ANNA; ABB; FADE; PEE; EE; FEE; GAE; ILK; MM; LEK; OI; NOO; GRR; EEN; JEE; OINT; TUPS; ST; TEX; WADDS,175,OO; GAUN; ADDS; EE; DEED; ECCE; HE; KEN; EE; NIM; UN; HOG; NOON; LO; RE; TEEM; SAI; HET; SNY; PERV,Player2
35,180,GHAT; ANA; DADA; EE; FEEB; CEE; GED; CIG; EEL; MIX; IN; IN; ON; BOO; KEEN; RE; NE; SEE; ONST; MIXT; NUS; UN; INN,167,BAEL; CABA; DEED; DEE; YE; EE; CHEF; EKE; MAD; LIN; INN; EON; KOA; EEN; OPPO; LINS; OR; ONS; ST; URN; UT; JEON,Player1
36,211,EF; TRAPE; BA; CAL; DEE; DEBE; FAG; GHEE; AI; JIG; ENE; CALM; NAG; MOZ; KON; PORN; SOS; OR; SOSS; TEE; US; ORT; WRY,174,NIE; TAWA; FA; ADDED; CEE; EW; ER; EE; AKEE; HM; EL; NIL; EN; NON; POP; AIRN; DEET; IS; TSK; SNY; UR; MOZZ,Player1
37,241,NEE; DAIS; TAIG; DECAD; ABBE; EA; GHEE; EE; KEF; EN; FED; EEL; NON; JOKOL; PRO; TAIGAS; ABBES; OM; NUG; XYSTS; OR; ST,160,ENTS; AA; DACHA; CEE; DEKED; GEE; EF; IF; GILDEN; NE; LI; IN; LINN; OON; MM; AAS; DIP; TURR; NET; VOM; PROW,Player1
38,184,DEV; VEX; GALE; AA; AE; EA; EN; GEE; EFFED; EE; ICK; LINE; NEE; JEE; JO; KON; EEN; EMS; EN; TEN; NUN; REFFED; STY; ST,233,EL; EASEL; MAN; BAA; BED; BEE; EE; DECKED; EE; HIGH; EAN; MAE; GIBE; OM; ONO; LOR; SKI; HIPS; MATS; RUT; ST; UN; LINER,Player2
39,200,AIDE; AT; BAA; ECAD; SMEE; EE; AE; DEE; EE; EGG; BAAL; IN; IN; EN; LOIN; NOO; NOOK; AIDES; BAALS; PO; TI; RUN; LUR; FEZ; PWN,190,AE; BEARD; DA; ADS; AE; DEET; FE; FEH; CEE; JIG; JIN; MM; TEN; INN; KO; OON; NOON; NAE; ENS; SH; URN; UR; BEARDY; NTH,Player1
40,250,VIS; AREA; ABA; ED; DEED; EKED; ECCE; EH; HE; KIEF; LIG; NE; MM; NE; MI; LO; COLOG; NOON; RE; STEEM; NUG; OW; STEEMS; TUTTY,155,SEN; AN; AD; TUB; TEE; DEE; NE; GEE; KIS; FAG; IDE; DEEN; EN; COL; NOO; PO; PEH; AS; FON; NU; LOR; TOW; TUT,Player1
41,190,ADOS; TANA; AA; EE; ED; TEC; ABCEE; EDH; ID; JIGGLE; AN; ME; ON; EEN; OP; MANS; NAN; EFT; URN; IN; TORT; EX; PUNS,193,ETH; BRANGLE; DAH; AE; EE; DEL; EF; FEED; EKE; KIKE; MAN; OINK; OLM; INRO; ES; HES; MORS; UR; WEEN; UNS; WYN; FEET,Player2
42,206,ERNE; AA; CABOB; AE; EE; EE; EF; GEE; KA; KHI; BEL; EEN; INFO; OON; GINN; ES; INFOS; ER; EFT; URP; GINNY; JUDS; EEW,177,JUD; ADAW; JA; EN; LEED; ECU; GEED; ED; AALII; GHI; ME; INN; OM; ON; KNEE; OS; SON; NOT; NTH; VAE; ME; PER,Player1
43,200,TEER; AE; RAGBAG; DOD; DEAD; DE; BEE; GEED; IDE; EF; CHE; ECHE; MIG; NILL; INN; MOO; JO; PEA; STAIN; DAES; INNS; PST,172,ZEE; TAIN; DA; EA; AB; GEE; FE; DAE; CEE; CH; LEE; ELM; INN; KEA; CON; OON; CONK; HOON; ZEES; HOONS; ST,Player1
44,194,SO; ANA; BASAN; DE; CREED; DEE; DE; GEED; GIES; LA; GLIM; MI; KO; EN; NE; OBA; CHAR; JA; ST; EN; QI; TO; KY,218,SONE; ELAN; BA; ACED; WE; EE; FEEB; FEH; CHA; WEM; MINK; ON; NO; NE; NOR; ENES; KOR; TSK; TUP; JO; TUG; DEEV,Player2
45,195,DREE; TAHA; ABAC; JEE; BE; EE; FE; FEE; AGEN; JAI; EEK; AKIN; INN; NO; LIN; OBE; NOR; SON; SIG; CLEEKS; TUT; ERES; SNY; TAKIN,172,END; ARNA; DA; REED; ED; JA; CEE; EH; GIE; GEL; CLEEK; IN; KEA; MOC; DAN; NO; PEE; OM; ORT; UT; ST; NU; VARNA,Player1
46,203,NITES; ANA; BAA; ICE; FEE; ACE; EE; GHEE; KEF; EME; DINK; EM; NO; KO; OOP; SNEE; ORS; KON; SUQS; DINKY; NETT; TRACE,205,IDE; ANT; DAB; DANT; DE; AJEE; FEE; GIG; IDLED; EN; HE; NE; NIB; OOP; RE; FEES; NET; NURR; MEME; LOOP; VORS; VLY,Player2
47,185,GI; GEE; FAE; AD; ACE; CEE; EE; EE; EA; HA; LACE; AMI; NED; NAE; NED; OK; PEEN; PED; NORK; SO; TEEN; UNS; UG; WON; JA; DEN,230,ON; EA; BETA; ED; ED; DAD; FEE; BI; DE; KILL; MEE; NE; HM; INN; NON; JOMO; NO; DADS; NORKS; TRON; SUS; HAT; QI; SOY; RUNS,Player2
48,196,IS; NAIN; CABA; AD; DA; CAPE; PE; BEDE; DEE; GI; EIK; EME; KI; NED; NU; ON; EN; DIRL; NUS; SRI; PEND; UT; NAT; TUNG,196,EMO; AT; MACA; TEES; DUE; CEE; DEE; FEET; OE; EH; KHEDA; ELM; FAD; NE; NO; NOON; NON; CAPER; EIKS; ELMS; RE; TUN; LEME; NYS,Draw
49,199,SONNE; AAL; DA; EA; EE; EA; EE; GEE; HEN; JIG; EUK; HEME; IN; GEEK; OMEN; PI; PION; OH; KIR; BEDS; ORCS; RUNS; TI; ST; HENT,210,SLANT; BANC; ADD; TEED; BED; JEE; FE; EE; DAG; HIE; ALF; NE; EEK; OM; BANCO; NE; MO; DEEN; REE; OP; ST; BANCOS; NOMENS; UR; YGO,Player2
50,204,WANK; AS; BACCA; CEDED; EE; TEE; FE; FID; EILD; MEN; ME; MNA; LO; NOON; RAG; BEER; ERN; PST; OPT; MILKY; ST,177,AGO; AN; HAG; BEDE; DEET; EE; HEDGE; JEFE; MILK; INCEDED; NE; AN; JO; MEN; PROO; SI; ON; ERNS; UKE; SON; NU,Player1
51,189,WAZ; AWA; TAB; KI; DE; ME; BE; ED; EE; HE; FE; BE; EN; ING; BELL; KED; LO; JINN; NEE; ON; SEME; SOOP; TATE; ST; UN; SEMEN,239,ATE; MNA; CAD; EPEE; DAE; BEE; ED; MEE; DEG; EF; KHI; BEL; HILI; GEN; INN; ONO; OOP; RING; OBE; DEGS; REF; BELLS; ST; URN; TRON; KY,Player2
52,160,IS; TA; AE; HAD; TIDE; EE; ERE; GEE; HE; BAKE; LAD; INK; EN; NEE; OW; NOW; ERN; PE; GU; STY; ZOS; HET,218,TENTS; GOAD; BABACO; DAD; EE; EE; FEE; JEE; FICE; MILK; IN; EN; NON; MONO; ROMP; OS; SHAD; STUPE; MONOS; LAD; EEW,Player2
53,186,LECH; AIA; AL; DAB; BADE; LECHED; BE; DEE; IT; FEED; HEIL; BEEN; INK; NO; NOON; OR; OR; AAS; ORS; SPUN; UT; NY,172,LES; AA; EE; TA; PEGH; EDGE; DE; EH; EF; KIKE; MEM; INN; NE; ON; GOOL; NO; DERMS; ER; TUNE; TEE; INKY; MAAR,Player1
54,184,LAD; NAN; ABAC; BEE; EEW; EE; EA; EE; EE; GI; LEI; NET; EL; NON; NOO; ROB; GRR; SEA; ST; REEN; ST; NU; SKYR; FY,205,HOD; ZANANA; ADD; CEE; EE; ED; TEN; GIE; FEEB; CHIK; JIG; MM; EEK; NOM; NOOP; MORN; LEIS; ZANANAS; EEN; UT; ET; UP; WADD,Player2
55,251,ODA; VAE; KA; DACE; EE; OF; GEE; GI; EKE; LIE; NINE; LIN; CEE; NOM; NO; MON; NINERS; NON; PLIES; PST; CUT; MOU; XU; NY,179,EEN; ARD; BADE; DEE; EE; EA; FEE; HEH; LI; GEE; KEEL; JNANA; BEEN; MMM; OON; PLIE; NOS; DEES; OFT; LOFT; TEE; RUN; MONTY,Player1
56,229,RIB; MAN; BAZAAR; EE; EMCEE; EE; EGG; FIG; CEE; KI; ENE; NED; BEN; EN; KONKED; PO; MO; OHMS; PO; THON; FIGS; NU; ST; WADD; NY,167,ENE; ACAI; ADD; AE; AD; FEE; DE; DEED; EEL; HAE; KED; JEE; ING; OO; HON; PORNO; MOS; JEES; SEE; MIL; PUR; MOST; VAE; NUN,Player1
57,169,ET; AT; AGAZE; DAD; EE; EE; CEP; EE; PI; GEE; GEEK; DIG; EN; PIN; JEEZ; JO; MON; NOR; KLIKS; AESC; UR; URN; TURN; US,197,PEA; NA; HM; BAD; EANED; EE; GAE; EF; HI; EEK; LEAT; KLIK; EEN; MI; NO; OON; EEL; BRR; ADS; JOT; SUN; READ; FY,Player2
58,172,MENE; AA; CAW; CAME; CUE; AIDE; EE; NEE; IGGED; EE; EL; HMM; SEEN; KED; KO; OP; POLK; KON; ONS; ST,150,ONES; BAA; DA; SEE; DEW; DEE; FEE; DEG; IF; EL; HM; BIN; NE; ON; AEON; OP; FEER; BINS; FEET; NTH,Player1
59,206,EAR; NEAR; AB; AD; VAX; EA; EBBED; DEED; DEE; GIF; EEK; LECH; IN; ME; DEEK; ON; ON; ON; HONS; NEEM; AXELS; ST; JUTS; UR; YEA,208,AX; PIA; ADZ; DEAD; DE; EE; EE; FEED; EE; HO; IGG; AXEL; BEIN; ELK; MM; ON; NON; ON; FEEDS; CRON; CRONS; RIGG; ONST; URN; URP,Player2
60,213,HI; ZAG; BAO; DAD; DEBE; EE; EE; FEE; ID; UG; JEELIE; UN; EN; NON; MOKI; NO; NORKS; SLEER; AT; UNS; NOT; GEEP; WRY,167,SEA; DAM; BAA; DEE; ECCE; FEEZE; FED; GEE; KI; GEL; HM; INK; NO; ON; NO; LIG; LEER; HIS; ST; JUST; NOTT; NEW,Player1
61,190,TEIND; EA; DA; AS; HA; EA; BAD; EE; DEE; GEE; BADE; PIKI; QI; GEM; TEAM; NE; EL; NO; NOO; FON; PIKIS; ONST; RUN; NU; BEER; NOOP,221,HI; SPAT; AD; ZAS; SPATE; ED; ED; BEE; FE; ICE; KA; JEE; MEE; LEA; KED; CH; GAD; OF; NON; MORN; ONS; ST; BURRS; SWY; EFT; ST,Player2
62,197,ANON; ANANA; DAD; DEMON; DEED; EE; CEE; EH; KIF; ELK; JINK; NAE; NO; ENG; ERN; EN; FESS; ONS; RUG; UT; EEW; ADZ; ODAL,177,DEEK; BO; AB; AE; GENE; EE; CEE; GI; FE; EH; MNA; MINAE; LICH; NOOK; ON; SRI; ET; CEES; TIN; RUT; NY; ST; EEW,Player1
63,124,ES; NAAM; CAD; EA; EE; EEK; EE; DEF; ICH; FEG; EEL; NAE; KA; MILK; OH; PEE,114,MAILE; NABE; DA; ODE; SEE; KEB; EE; BEEF; DE; ILK; VEE; GINN; EM; NON; NON; OOR,Player1
64,190,DANG; AA; KAK; DACK; DEBE; REE; DEED; PELE; FEE; EH; BEG; EH; NE; OF; OF; JO; DERN; ST; TEL; TO; MUSE; MONS; XU,199,NEE; YA; AGAR; CEP; ZA; EE; BE; CEDE; GID; EALE; MINI; NIL; MON; NOON; POOF; SI; EN; NILS; NTH; PELES; TUG; NU,Player2
65,239,HO; GRAD; ACT; BA; EE; TEAD; EE; EE; JIB; DEE; MM; BUNN; WANG; KNEE; NOM; NO; KNEE; SWANG; EDS; SUQ; TRYST; WHA,145,WEN; AA; BUN; CEE; BEDE; EA; EE; DIE; JEFF; EH; LIKE; EEN; LIN; OON; PO; JOR; ERS; TON; ST; POH; UN,Player1
66,211,VEX; AH; BEZ; DADA; PAD; DE; DACE; HE; FEG; DAK; EIK; INN; EN; EN; NON; JO; KO; QI; BIDS; TA; ST; RUC; NY,177,TEA; SAI; DADAH; ABCEE; EE; EE; EE; EE; EE; LIG; MM; GETA; EF; MMM; NO; LOO; REF; SRI; SHEN; ST; SUN; DURR,Player1
67,178,TOM; AIA; BA; AD; ADD; ED; EAT; ER; ECCE; GI; BIG; QI; GHI; NA; INK; HEN; LIN; NO; KO; SEER; EFS; EBON; TSK; UT; UM; NY,166,JOE; AR; ADRAD; SEE; ED; EE; EE; EE; FE; EA; HIE; EF; LI; ME; EEL; NE; NO; NO; JOG; NO; FEDS; HIES; PREE; SUR; TEEL; NUS,Player1
68,0,,0,,Draw
69,179,ANAS; TAVA; DAD; DE; DEE; EE; DEF; GAG; GI; CEILI; DEEN; INK; NOO; HON; KOJI; SO; PST; UNS; STY; UT; WEN,167,ENE; ALBA; REE; BEE; EE; EE; CHE; GIE; FEH; ICK; MM; ANN; COLON; OR; MO; PINK; ST; EEW; RICK; NOR,Player1
70,206,CUE; AA; AGA; EE; ACE; DEE; DEB; DE; GIE; KLIK; MMM; LING; ON; ON; NO; GRR; SMEE; DEENS; NUT; PWN; WYN; ER,161,TOTE; TAN; BEDAD; DAE; EE; FE; HE; AE; EE; ILEA; DEEN; HM; NONI; UP; FOR; OS; ES; AGAST; EEK; PRO; NON; XI,Player1
71,179,JO; AA; FA; FOB; EA; HE; ZE; AIDE; EF; GED; ED; REEL; EN; EN; JOGGED; ON; AAS; NOR; SON; TEAK; UPS; UT; XU,213,NET; WHA; CACA; CAD; BEDE; DO; REE; BEDE; GIE; EIK; ELK; GIE; MMM; ANN; NON; OR; AIDERS; EIKS; ORT; NURL; NURLS; TUT,Player2
72,165,PHT; AA; NADA; FERE; ZEE; EE; GEE; EGG; ELK; AAL; MID; NAN; LO; ON; LOP; NE; HAARS; TI; NOS; EFT; FEZ; ORC,207,AUNTIE; ABACA; DEB; VEE; EE; DEEDED; IF; LI; MM; MI; MINK; INN; ENG; OON; OR; OS; SH; UR; ST; ONS; TRY; SWY,Player2
73,241,CENTS; AA; CACA; DA; OPE; ED; BEG; BE; HIDE; KIF; KAM; LEE; HA; ON; ONO; NON; RE; SLEE; ST; TANA; BEGUN; STY; MONO; JEER; TRAD,168,FEME; ANA; DOB; DEED; DEEVE; EE; EE; NIE; JEE; FIG; GLIM; NE; ELK; ON; OON; RAD; ELKS; BENS; RET; UR; PE; NY; HAW; URN,Player1
74,196,NOD; NAE; ABASES; ED; SADE; EDGE; ED; AI; FIEF; ELL; AH; MEM; EEN; KONK; QI; ONS; TONS; RAINS; LEV; TWO; NU,204,ES; TEAZE; CACA; DEE; EE; BE; EE; HE; KED; GLEE; AGIN; EN; NOMINA; POO; SORN; AINS; RUC; TWP; GU; ZEA; MY,Player2
75,205,REDD; ONE; CAAED; ACE; FE; DE; DEED; FE; GAE; EL; HONE; JO; ME; HON; PHON; PIN; NE; HAARS; ST; LAB; UT; PINT; WYN; FEW; NOR,203,EINE; AB; DAB; CODA; EEK; DEED; GEE; GEEK; EEK; LIKE; EN; NINE; OIL; NO; MOIL; OR; REDDS; IS; NIS; UNDO; UTS; ACER; MY; GUV,Player1
76,186,INCLES; ANA; ABAC; ED; AE; DEED; FEG; EA; GEE; MI; KININ; NOO; OP; DORR; POSS; MI; US; SNOOT; WE,160,END; BA; JELL; DENE; DEED; EE; EH; KEFS; CHEM; NEE; EN; JO; NE; GEN; NIRL; UT; NIRLS; XI,Player1
77,164,ET; DATA; NA; CAB; DEE; EE; BEE; EGGED; FIG; LIE; MI; ANN; NA; MINK; ONO; OR; NOR; SNEB; ES; US; TUTUS; MONO; NY,173,TORE; APO; DAD; ACH; EE; EEN; EE; FIE; EEK; FE; AN; NEB; MI; KON; PO; REM; SH; ANNS; OS; UTUS; WON; MUN; XU,Player2
78,166,ER; DA; NAPA; EE; PEEKS; BEE; FEE; EH; AI; DAE; EF; KI; ENG; MONO; ON; BOR; SO; SKI; SEME; ST; PUT; NY,178,CODE; MANA; AB; ACED; SED; DEED; GEED; HIE; GEE; ELL; ON; LIKIN; FEN; FON; NE; SON; ON; LET; AIRT; NE; MUT,Player2
