Game Number,Player 1 Total Score,Player 1 Moves,Player 2 Total Score,Player 2 Moves,Winner
26,293,IDEES; YEA; DOAB; SECEDED; CEE; GAFF; GHI; AKEAKE; MM; MING; GAFFE; NOON; PRORE; GAFFES; HENS; QI; RUT; GOWN; WATT; REM; ZE; EON; IT,329,DYADS; CUBEBS; SECEDE; CEE; BEEF; HAGG; JEE; KLIK; FELL; HEN; JO; PE; PRO; HAGGS; THENS; QIN; ATT; SIX; VAR; ZO; ZEN; UN; EN,Player2
27,377,REALISE; BABA; REALISED; CAAED; ACTA; BEG; GIE; KIKE; LEME; MENT; FON; OPPO; MILLERS; ACTANTS; STUNS; EX; EW; JAW; GIEN; NO,303,DAHL; ACT; INCEDED; DEEK; EFF; GHEE; EGER; MILLE; JA; HON; DONJON; MILLER; ACTANT; THON; RURP; NYS; ZEN; ZEE; ST; ER,Player1
28,263,TENIAE; ILKA; ACE; DAD; TEAED; ADZED; FEE; GHAT; JIN; HELM; KEG; JO; JEON; ERR; SONS; TOTS; WE; RUNT; VEE,307,ILK; EBB; ACED; ZED; CTENE; CEE; FEG; HING; KEELIE; MM; KI; KINO; OPPO; GRR; CTENES; NURS; NY; OX; ZEA,Player2
29,333,GAWDS; ADAW; BACCA; BACCAE; CEE; REE; AGEE; FIQH; KIEKIE; MILK; LOON; PRO; FIQHS; MONKS; SKEEF; RUT; NY; SIX; ZO; TI; ON,258,HM; DARB; CEDED; BENNE; SHAN; FEE; GHEE; KEEF; JELLED; MONK; PO; JOE; KIEKIES; ERR; STUN; EW; RUNT; ZA; REEN; IT,Player1
30,291,BLOT; RANG; CANADA; REEDE; EFF; HEID; GLIKE; MEN; LIMBO; NOOK; QINS; EFFS; SLAT; VAT; NY; RANGS; TAM; GURS; ZO; MAN,349,ANERGIC; CABAL; DEEDED; CEE; GHEE; JEED; LIMB; DEKE; JOMON; QI; REP; PST; TURRS; EX; YEW; EW; NU; WEN; ZE,Player2
31,344,TYMBAL; ABAC; ADDED; ABAFT; VEE; GEEKED; FOH; HIM; LEVEE; JEEL; NONI; OPPO; TYMBALS; JO; HIMS; EST; URUS; TAX; WEST; SAW; JOR; ZO,275,BAFT; VOCAB; DEEDY; EKED; CEE; EGGED; GIE; KIKE; MNEME; JEELIE; NOON; RADDED; KIKES; OPPOS; TATE; TATER; VEGO; ZOS; EWT; RAW; IN; NE,Player1
32,300,BELEAP; PAUA; WADD; ADEEM; EF; AGHA; JEE; JEELIE; NIM; MHO; NEON; ERR; FIQHS; NURRS; WYNN; EX; ZEN; ZA,292,BOWMEN; ECCE; NEEDED; BEE; FEG; FIQH; GIG; MELEE; FEN; GONK; KNOP; NORKS; BELEAPS; ST; ZE; TEX; UT; TO,Player1
33,355,TENZON; CAA; DADA; CEE; AIA; EFFED; HEIGH; JELL; MNEME; KON; OPPO; KORS; DEADENS; SUQS; WYN; XU; OWT; TO; TEGG,250,TICKEN; BUCK; ABED; DEADEN; ENE; EGG; JIB; MELEE; JIBE; ENNOG; REH; JELLS; TROPPO; ER; ZO; NY; ROWT; NU; NUN,Player1
34,313,FECK; LANA; ABACA; NEEZED; FUSILE; DEG; HIE; JIN; LEME; JINNEE; FEESE; JO; QOPHS; FECKS; ROSTS; UNWON; XI; YEN; ZE,282,FUSIL; BANAK; BAND; DODDED; FEES; BANDH; IGG; LEKE; GEMMEN; NEON; QOPH; PE; PERKS; TAE; AT; DEW; TRAT; IT; ZEN,Player1
35,267,BOLDEN; LAB; BAAED; EAR; DEE; EGG; HIE; AKEAKE; IMBOLDEN; MMM; OOM; PO; GHEES; SLAB; TEGGS; TOOM; EARN; UTS; XU; NY; SEW; ZA; NE,298,BOORKA; KIND; ECCE; DEEDED; EFF; GHEE; HI; JELL; JEFF; JELLO; PEEN; FERN; PEENS; EGGS; POS; IT; NUR; EW; TYPOS; REW; ZE; ER,Player2
36,297,KHAF; KANGA; BACCAE; DEADED; SEE; GAGE; JIN; JEELIE; NEBBED; EM; OLE; QI; PE; JINN; TREE; TO; EW; ZE; NOX; ZEN; REM; UT; TON; EN,353,FADIEST; BACCA; EBB; EBBED; EFT; AHI; DEEK; CLEEK; MEM; NONG; PO; QIN; DONOR; KHAFS; SORTS; WUS; OX; YEW; DEEV; VOM; UPO; RUT; ZA,Player2
37,267,KAONIC; AX; AXED; CAA; AAH; EEK; FEEN; GHI; EKKA; JEMIMA; FEN; NOON; QIN; REE; EKKAS; ORT; IT; FENT; ZA; NY; UR; UR; ZEN; NO,345,ILEX; CHEF; EBB; ADDED; DEG; BE; GEE; JEE; GLIME; ELM; NOON; QI; POPE; GLIMES; ELMS; TSK; RUNTS; YUS; EEW; EW; VAT; ZE; ON,Player2
38,268,MALIC; QI; BAC; CANADA; BARDE; DEE; TE; AGE; HAE; LEI; EINE; KNEE; NOON; NOOP; JONGS; STROPS; NOW; UTS; JEEZ; TEFFS,354,CRED; BARD; ZA; MALICED; DEBTEE; NEED; EFF; HEIGH; EKKA; JEE; BACK; MM; JONG; GRRL; STROP; UTU; WYNN; AX; TEFF,Player2
39,277,GENNY; ACCA; YOJANA; DEAD; DAB; EE; OAF; HIE; KEG; JILL; EEL; NOON; QI; YOJANAS; ACCAS; OPT; ST; TIG; ZA; WON; EEN,290,YOJAN; EBBED; COED; EEN; AGA; FE; HE; EIDE; EIK; HMMM; GEEK; IKON; PORN; IKONS; GEEKS; STOPT; TURR; XU; WO; OWN; NU,Player2
40,287,CIVES; ANSAE; GADDED; AB; FEEB; HAH; FAKE; MELA; KEG; MILO; HOON; MILOR; BOBCATS; ORT; ST; UNTRUST; POPSY; REX; TORT; KON; NU,274,GAMETIC; BOBCAT; DEEDED; VEE; FEE; OGEE; CLEIK; MIL; JAB; NON; POP; ERR; POPS; HAHS; TRUST; WON; WE; NY; ZE; IN; NUN,Player1
41,289,CUZ; TANGA; GAD; ADDEND; CEE; EFF; HEH; KIKE; HMMM; BABEL; KEENO; QI; PSI; EFFS; PA; EX; REB; OONT,313,ENTERIC; BABE; CAWED; ADDENDA; ZEE; EGGED; JIN; LEEK; LINEN; JOE; OON; QINS; ENTERICS; TORRS; NOW; YUTZ; EEVN,Player2
42,319,TALLOT; BAJAN; DAAL; DECOCTED; ADD; EFF; HEH; KEEK; GLEG; MM; JO; TRANQS; RINNING; MOTT; WE; JEEZ; LUV; VIM; ERN; INN,323,TRANQ; DECOCT; LEBEN; BEE; JEE; EGGED; OI; KIEF; INNING; IONONE; PERP; KIEFS; OPS; STUN; YA; ADZ; TALLOTS; WOPS; DEX; AR,Player2
43,341,WEFTS; ABBE; ABBED; CAAED; SCAUDED; FEEB; HAHA; GEEK; ALME; ALL; DONJON; POP; JOR; TROP; SUQ; TRY; EX; NEWTS; ST,288,WEAVE; SCAUD; DECENT; NABBED; VEE; EGGED; HIE; KIKE; MINI; EME; MINION; FRORN; KIKES; STROP; EWTS; ZE; ZEX; STROPS; ZEN,Player1
44,395,ZONATED; DABBA; ADD; CAD; WEE; EFT; GHEE; HAJJI; LEMME; MINI; NOON; QIN; PROS; PSST; UNTURNS; WYE; ZE; EX,286,KAWA; KA; DECAD; EGENCE; TED; FEE; HEIGH; LIKE; LEI; OZONATED; POLL; MORN; HAJJIS; POLLS; IT; REFT; LEIR; VEE,Player1
45,241,NEUME; MAA; DADO; MAAED; CEE; CAA; FAG; HAG; KIEKIE; LEMMA; KILN; NOON; LEMMAS; FERNS; EEVN; YU; VET; AR,291,PODGE; BA; BACK; FEEDBACK; CETE; BED; GHEE; JA; BEDEL; JINNI; ENNOG; LERP; SOSS; RORT; XED; YUTZ; QI; ST,Player2
46,300,ANENT; JAWAN; ACCA; WADD; ABBE; VEE; HEH; JIB; KEELED; NEELE; NOON; DROOP; DROOPS; ERST; UNKEELED; STY; UVA; ZE,277,TREZ; AXLE; ABB; EDGED; DEEVED; EFF; GIF; KIKE; GEMMEN; MINA; NOOP; KIKES; JIBS; GIFT; WE; MINAR; WET; HERN,Player1
47,301,NOODLE; AAS; CAD; EBBED; SPODE; ECAD; FEE; FAD; AGHA; HAJJI; GIMEL; NEBBED; QI; ELM; NTH; UTU; OW; WYE; NY; RE; IN; NE,300,SPOD; EBB; NOODLED; ONCET; DEFT; CETE; BE; GEE; HIE; KIKE; KENNET; JOMON; PRORE; SNEBBED; PRORES; JOMONS; KENNETTS; VOW; XU; ZE; ZA,Player1
48,293,TOZED; FAW; CANADA; BACCATED; ZEE; HEH; JAKE; UMM; EME; NOON; POPE; DELINKS; CANADAS; JINK; CRUS; YER; ST; ST; ROK,336,UNWRITE; BACCATE; BEEBEE; NEEDED; FEG; EGGIER; JILL; DELINK; INK; GOON; JAKER; BEEBEES; ORT; CRU; WE; FIX; PAV; ZO; NE,Player2
49,242,DYNODE; LEA; ADDAX; EF; CEE; BA; AAH; JEE; ELK; IMINE; NEK; NOON; JOR; PORNS; TIL; THE; ET; ZO; ST; NON; RE,329,FLAXY; DYNODES; CECA; BEEBEE; NEEDED; FEG; NIGH; SIKE; CECAL; MEG; MOJO; IPPON; BEEBEES; IPPONS; ST; KNUR; SUQ; EW; WON; ZE,Player2
50,262,HONE; AAH; BAAED; CEE; BEE; CEE; AIA; GEEK; MAMMIE; JA; FEEN; KON; RECCE; ROON; RECCES; CEES; ST; SUQ; MY; ZED; NA; NU,325,DOBHASH; HONES; ECCE; BEDE; DEEDED; EFF; GEGGIE; LILL; JEFF; KI; KOLA; APP; RHONES; JAR; ST; FET; ENURN; WAAH; EX; WOK; ZE; NU,Player2
51,250,TOEING; AW; CAAED; ABAC; ABACA; CHE; CHEF; AAH; AWEE; KIEKIE; MMM; BEDELL; INK; NEF; JEON; RIM; BEDELLS; PER; ST; STUNT; ZE; UN; EN,354,WHERE; CAB; BAC; BED; TEDDED; DEG; EF; GIE; KEF; AWEEL; BEDE; GIEN; MENE; JEON; OPPO; GOORS; STEDDED; JEONS; STRUNT; OXY; WAAH; ZE,Player2
52,296,LENIFY; AAL; DABBED; COED; FAE; FAA; GHEE; HAJI; LEMME; KAME; LOKE; NOON; RECCE; HAJIS; SORT; URN; EX; WUZ; HEN; WE; AMEN,343,TRAGEDY; ABBED; ECCE; DEEN; TEE; EGG; JEE; HIKE; IMINE; FAAN; NONE; QI; REPPS; RECCES; LOKES; KAMES; QIN; ZO; THEN; TAAL; ET,Player2
53,293,ZONATE; TANA; DEMERGE; DADA; CEE; FEE; GHEE; AJI; ZILLA; KANEH; JELLO; MANO; SORN; TOSS; UTU; ENVY; QI; OX; ZE; TON,375,EMERGE; CAR; DEMERGED; EBB; DEFENCED; FEG; HIE; KIKE; JELL; MEM; POPE; GRR; ZILLAS; ORTS; WORTS; FEW; QIN; NY; VAE; URN,Player2
54,275,NAKFA; ABACI; FAE; CEE; EEK; GAGED; JIG; ENGAGED; OJIME; LOON; POOH; BRR; POOHS; ESS; ROT; ORT; VOG; YA; KIT; INN; NA,288,NAMABLE; CEE; ABED; DEEDED; FEED; HEIGH; LED; KI; KEA; MOL; MAP; KIR; MAPS; LENS; TREM; NUT; TUX; WORT; TOW; ZA,Player2
55,280,IMPUTE; PEBA; DADA; TEAED; BEE; FEG; HAIN; KIKE; MEEK; LONE; POON; ERR; ROONS; PSST; HENGES; TURN; YE; JOW,238,ANLAGE; IMPUTED; ACCEND; BEEN; DEF; HENGE; JIN; KEEMA; ELK; JO; LONER; ROM; PEBAS; TON; AW; INN; DAN,Player1
56,368,BERGEN; HAP; CHAPE; BEGAD; CAA; CEE; GAGA; JEAT; LIKE; EMCEE; IMBEDDED; NANOOK; QI; POME; JEATS; ROTLS; WE; XI; VOW; EMCEES; XU; UN; ZO,346,ANTIPOT; CHAP; BEG; BEDDED; CEDE; IFF; EH; KIFF; JEE; ONLINE; LIKEN; DEE; ONER; QIS; POMES; ELT; OW; TRYE; ZONER; REH; NON; NUN; NE,Player1
57,266,ANNEAL; ABAS; CAAED; TEE; ADEEMED; GEE; HIE; GIMEL; BENNI; CONE; OOH; QI; ROON; JOLS; HIES; RUTS; OWN; WOW; NOWN; PER,348,ABSENTS; CABAS; CEDE; DEEMED; EFFED; HIGHED; GLEE; EM; JA; JOL; PE; PE; ERK; THIGHED; KO; TURNT; KYU; EX; ZEX; ZE,Player2
58,285,JOBE; NAOI; BACCAE; JOBED; CEE; AGEE; FIG; HILI; FEEL; POON; MINKES; MANEBS; SPOONS; EAR; TREM; UTS; RUC; NY; OX; EW; UN,270,MINKE; MANEB; DADA; NEEDED; FEED; GHEE; LEKKED; LING; JOMO; PA; QI; FEEDS; FIGS; EM; KIT; PET; TWA; ZEL; ZEN; REW; NO,Player1
59,271,KNURL; BARD; DAB; DEADED; WEE; AGE; FIG; GELEE; UHLAN; HM; NIP; WEER; BOWSERS; QIN; IT; ENVY; ZO; NU; NUN; EN; NAT,337,BOWSER; CABOCS; KEEKED; CEE; FEED; EGGHEAD; JEE; MIM; JINK; NONI; PORN; SOSS; QI; ROUP; OX; WOX; ZA; ET; TO; AT; ET,Player2
60,286,PEDATE; HAE; BAD; EBBED; GAE; PEE; EPEE; AAH; JAKE; MILLE; LEK; LEKE; NON; PREE; RECCES; FEEDS; SRI; RUGAE; OW; XU; VOW; GIN; EN,328,DZHO; EBB; HAED; BADGED; FEED; ECCE; GHEE; QI; FIG; KINA; MM; KON; JO; RECCE; PREES; ROOSE; MILLET; EST; TWA; STY; NY; ZE,Player2
61,282,TINCT; WAAC; CARDAN; TINCTED; CEE; DEAF; JEE; GILLER; EL; JOG; JEER; WAACS; POT; IT; NU; SKUNKY; ZE; EN; DAN; ANN,347,THONG; GABBART; DREED; REEDE; FEEB; EHED; KIEKIE; MNEME; MOONG; POOP; GABBARTS; GILLERS; KIEKIES; SKUNK; OX; WOX; ZIT; ORT; VEE; NE,Player2
62,279,AWARNS; ANABAS; TEDDED; EAGLETS; CEE; FEG; AIA; KIEKIE; MMM; MOOK; NOON; ACCENDS; TRON; RURU; NY; XU; ZEN; ZE; IT,280,AGLETS; BA; ACCEND; ENDEW; FEEL; HEHS; JIB; EAGLE; JEDI; NOEL; PERE; JEDIS; EAGLETS; SOW; MENT; PEN; NAE; ZEN,Player2
63,249,BONG; MADAFU; BONGED; ABACA; DEED; DEF; HAG; JEE; FLEEK; NEEM; JEON; LOP; ER; ABACAS; DEFT; URN; DRY; NAB; ZA; REM,336,CUCKING; ABAC; BADDIE; CEE; EM; GEE; HIE; EELLIKE; MM; EON; PI; PINON; SORNS; JEONS; TUTS; WE; PWN; AX; ZO; TA,Player2
64,303,NEBULE; WAN; DECAD; DECADE; DAE; AFF; HAGG; AJI; FAMILLE; JAG; CONN; QI; PROM; NEBULES; CONNS; DECADES; MUT; ZEL; IT; VID; NED,352,RESOWED; ECAD; DEBES; CEDE; WANE; OGEE; HIE; KIKE; MEME; OKE; OOP; CEDER; PROMS; QIN; ESTRO; UTTER; SWY; EX; ZIT; URN; NO,Player2
65,259,WHEEL; UVAE; WADED; BACHA; AWHEEL; BEE; DEGAGE; KIKE; UMM; JEFE; FEHM; JA; KOR; REB; SLINK; TI; AR; NET; NED; NE; EEN; EN,442,TAINTED; BACH; LACED; BELACED; TEED; FEG; FEH; FELL; LINK; JINNEE; NONE; QI; POOP; AWHEELS; ORS; SOURSE; EX; NY; WO; ZO; POZ; NET,Player2
66,269,PODGE; AB; DAD; DEE; BAE; CEE; FAA; GHI; KIEF; EEL; ME; MIL; JONG; JO; RORE; KIEFS; RORES; ONST; SUR; EELY; AX; ZE; ST,292,EARBUD; DAWK; BEDEW; REC; CEE; FEE; EDH; GI; LIKE; MM; NEEP; FAAN; NEON; PO; JOR; PODGES; ORT; TORT; JOW; ZE; ZEN; ZEN; AN,Player2
67,376,LUNCHED; ABAC; ABACA; CAA; BEE; FEE; HIGH; AJI; LIKE; LEMMA; LIKEN; JEON; QI; HIGHS; PRE; FEET; TENT; TOY; BEET; ZEN; ZE; NUN; NON,340,REEVOKE; REEVOKED; LACED; DEBE; DEER; GLUNCHED; FEH; GLACED; MIKE; FEHME; JEON; PONE; ROON; PONES; ARS; TUT; OX; ZE; PWN; WAID; DEERS; TES,Player1
68,291,LAWMEN; WAB; DODO; CAA; JEE; EF; GAGE; GI; KAIF; ELEMI; MENE; NOON; POOH; KAIFS; GLEEKS; QI; ST; ATT; URN; EX; ZO; ZE,278,LADDY; COCKY; BEDE; JEE; CEE; FEE; GHEE; JIG; GLEEK; EH; EME; NIP; ER; BEDES; WABS; SEMEN; TIN; UTS; WOS; UN; EAN; UN,Player1
69,299,BEMATA; BAA; DADA; ADEEM; ZEDA; OGEE; HIE; HAJJI; MEIKLE; LI; KON; OP; MIR; HAJJIS; ADEEMS; TOP; TID; UN; WE; WEX; NEW; ZIN; NU; NE,329,BEGULF; ADZED; ECCE; ZED; DEF; DADAH; GIE; KEEKED; KEEN; COOM; OP; PORN; BEGULFS; PORNS; ZEDAS; TOP; NOR; MIRV; EW; TRY; IN; RE; NE,Player2
70,290,FEZ; FACTA; ABBA; ADAW; DEME; GHEE; HAJJI; LEGLIKE; FEEN; BON; POL; ER; ORT; GUV; WE; XED; WEN; ZEN; ANN; EEN,329,FEZES; WADGE; DECANT; DEEDED; FEE; HIC; HICKIE; LEMME; KNEE; NOON; PRORE; SOSS; HICKIES; PUTT; NY; QI; ZEN; RIN; IT,Player2
71,286,JOSEPH; KANA; DADO; CAAED; FEED; CHAI; GEEK; LEMME; KI; MOJO; OP; JOSEPHS; TERROR; METER; OPT; WON; NY; EEW; KIN; ZE; IN,303,COKESES; BANC; HEEDED; BEES; FEG; GIG; LILIED; CHAINE; BANCO; ENNOG; ERROR; BANCOS; ST; RUT; WO; AX; ZAX; RYA; TUP; ZEN,Player2
72,260,BOURG; RARK; CAA; DEADEN; BEE; HEH; AJEE; JEMIMA; ELM; NONI; KENAFS; ROT; URGED; WE; ZE; DEX; TON; NU; UN,282,BEEFS; SCAB; KENAF; DEEDED; FEG; GEEK; KILLIE; DINE; NOON; PORN; PST; GEEKS; QIN; PORNY; TWO; ATT; ZA; NUN; IN,Player2
